datetime,date,time,archivo_origen,luft_temperatur_c,luft_feuchte_percent,wind_geschwindigkeit_m_s,wind_richtung,wind_geschwindigkeit_standardabweichung_m_s,wind_richtung_standardabweichung,umwelt_blatt_feuchte_percent,niederschlag_nebelwasser_ml
2024-08-01T00:00:00Z,01.08.24,00:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T00:10:00Z,01.08.24,00:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T00:20:00Z,01.08.24,00:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T00:30:00Z,01.08.24,00:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T00:40:00Z,01.08.24,00:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T00:50:00Z,01.08.24,00:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T01:00:00Z,01.08.24,01:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T01:10:00Z,01.08.24,01:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T01:20:00Z,01.08.24,01:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T01:30:00Z,01.08.24,01:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T01:40:00Z,01.08.24,01:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T01:50:00Z,01.08.24,01:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T02:00:00Z,01.08.24,02:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T02:10:00Z,01.08.24,02:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T02:20:00Z,01.08.24,02:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T02:30:00Z,01.08.24,02:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T02:40:00Z,01.08.24,02:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T02:50:00Z,01.08.24,02:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T03:00:00Z,01.08.24,03:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T03:10:00Z,01.08.24,03:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T03:20:00Z,01.08.24,03:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T03:30:00Z,01.08.24,03:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T03:40:00Z,01.08.24,03:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T03:50:00Z,01.08.24,03:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T04:00:00Z,01.08.24,04:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T04:10:00Z,01.08.24,04:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T04:20:00Z,01.08.24,04:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T04:30:00Z,01.08.24,04:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T04:40:00Z,01.08.24,04:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T04:50:00Z,01.08.24,04:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T05:00:00Z,01.08.24,05:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T05:10:00Z,01.08.24,05:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T05:20:00Z,01.08.24,05:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T05:30:00Z,01.08.24,05:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T05:40:00Z,01.08.24,05:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T05:50:00Z,01.08.24,05:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T06:00:00Z,01.08.24,06:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T06:10:00Z,01.08.24,06:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T06:20:00Z,01.08.24,06:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T06:30:00Z,01.08.24,06:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T06:40:00Z,01.08.24,06:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T06:50:00Z,01.08.24,06:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T07:00:00Z,01.08.24,07:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T07:10:00Z,01.08.24,07:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T07:20:00Z,01.08.24,07:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T07:30:00Z,01.08.24,07:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T07:40:00Z,01.08.24,07:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T07:50:00Z,01.08.24,07:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T08:00:00Z,01.08.24,08:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T08:10:00Z,01.08.24,08:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T08:20:00Z,01.08.24,08:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T08:30:00Z,01.08.24,08:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T08:40:00Z,01.08.24,08:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T08:50:00Z,01.08.24,08:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T09:00:00Z,01.08.24,09:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T09:10:00Z,01.08.24,09:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T09:20:00Z,01.08.24,09:20:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T09:30:00Z,01.08.24,09:30:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T09:40:00Z,01.08.24,09:40:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T09:50:00Z,01.08.24,09:50:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T10:00:00Z,01.08.24,10:00:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
2024-08-01T10:10:00Z,01.08.24,10:10:00,OYA_1069 08_2024.xlsx,0,0,0,0,NA,NA,0,0
