datetime,date,time,archivo_origen,luft_temperatur_c,luft_feuchte_percent,wind_geschwindigkeit_m_s,wind_richtung,wind_geschwindigkeit_standardabweichung_m_s,wind_richtung_standardabweichung,umwelt_blatt_feuchte_percent,niederschlag_nebelwasser_mm,niederschlag_nebelwasser_ml
2024-01-01T00:00:00Z,01.01.24,00:00:00,OYA_1128 01-2024.xlsx,17.8,62.3,1.32,234,0.22,28.3,1.55,NA,0
2024-01-01T00:10:00Z,01.01.24,00:10:00,OYA_1128 01-2024.xlsx,18.5,53.5,1.21,253,0.366,18.2,1.23,NA,0
2024-01-01T00:20:00Z,01.01.24,00:20:00,OYA_1128 01-2024.xlsx,18.6,53.6,0.542,108,0.203,90.8,1.15,NA,0
2024-01-01T00:30:00Z,01.01.24,00:30:00,OYA_1128 01-2024.xlsx,18.6,48.6,0.788,83,0.14,18.4,1.14,NA,0
2024-01-01T00:40:00Z,01.01.24,00:40:00,OYA_1128 01-2024.xlsx,18.9,47,0.922,32.9,0.197,18.5,1.09,NA,0
2024-01-01T00:50:00Z,01.01.24,00:50:00,OYA_1128 01-2024.xlsx,18.9,53.6,2,38.7,0.883,10.2,1.12,NA,0
2024-01-01T01:00:00Z,01.01.24,01:00:00,OYA_1128 01-2024.xlsx,18.2,59,2.22,44.6,0.314,8.08,1.23,NA,0
2024-01-01T01:10:00Z,01.01.24,01:10:00,OYA_1128 01-2024.xlsx,18.1,58.4,1.5,48.2,0.367,14.4,1.29,NA,0
2024-01-01T01:20:00Z,01.01.24,01:20:00,OYA_1128 01-2024.xlsx,18.1,51.6,1.07,19,0.285,14.1,1.28,NA,0
2024-01-01T01:30:00Z,01.01.24,01:30:00,OYA_1128 01-2024.xlsx,18.4,46.9,1.51,11.3,0.244,14.7,1.2,NA,0
2024-01-01T01:40:00Z,01.01.24,01:40:00,OYA_1128 01-2024.xlsx,18.5,47.7,2.33,24.4,0.505,11,1.15,NA,0
2024-01-01T01:50:00Z,01.01.24,01:50:00,OYA_1128 01-2024.xlsx,18.1,60.5,3.7,35.3,0.535,9.61,1.26,NA,0
2024-01-01T02:00:00Z,01.01.24,02:00:00,OYA_1128 01-2024.xlsx,17.3,65.4,3.57,44.5,0.327,6.2,1.48,NA,0
2024-01-01T02:10:00Z,01.01.24,02:10:00,OYA_1128 01-2024.xlsx,17.1,66.4,3.3,36,0.525,9.84,1.69,NA,0
2024-01-01T02:20:00Z,01.01.24,02:20:00,OYA_1128 01-2024.xlsx,17.1,62.9,3.46,51.5,0.414,11.4,1.75,NA,0
2024-01-01T02:30:00Z,01.01.24,02:30:00,OYA_1128 01-2024.xlsx,17.5,61.3,3.66,51.6,0.504,9.18,1.67,NA,0
2024-01-01T02:40:00Z,01.01.24,02:40:00,OYA_1128 01-2024.xlsx,16.8,65,3.85,43,0.39,5.17,1.8,NA,0
