datetime,date,time,archivo_origen,luft_temperatur_c,luft_feuchte_percent,wind_geschwindigkeit_m_s,wind_richtung,wind_geschwindigkeit_standardabweichung_m_s,wind_richtung_standardabweichung,umwelt_blatt_feuchte_percent,niederschlag_nebelwasser_ml,niederschlag_nebelwasser_mm
2024-01-01T00:00:00Z,01.01.24,00:00:00,OYA_1193 01-2024.xlsx,18.8,43.5,3.18,260,0.873,8.8,1.11,0,NA
2024-01-01T00:10:00Z,01.01.24,00:10:00,OYA_1193 01-2024.xlsx,19,40.5,3.26,275,0.614,8.18,1.05,0,NA
2024-01-01T00:20:00Z,01.01.24,00:20:00,OYA_1193 01-2024.xlsx,19.2,43.8,2.36,313,0.512,20.6,1,0,NA
2024-01-01T00:30:00Z,01.01.24,00:30:00,OYA_1193 01-2024.xlsx,19.3,45.5,2.42,309,0.504,23.6,1,0,NA
2024-01-01T00:40:00Z,01.01.24,00:40:00,OYA_1193 01-2024.xlsx,18.3,55.4,1.61,359,0.452,19.5,1.02,0,NA
2024-01-01T00:50:00Z,01.01.24,00:50:00,OYA_1193 01-2024.xlsx,17.6,58.5,1.78,11.2,0.467,17,1.1,0,NA
2024-01-01T01:00:00Z,01.01.24,01:00:00,OYA_1193 01-2024.xlsx,17.4,58.6,1.16,23.9,0.311,23,1.17,0,NA
2024-01-01T01:10:00Z,01.01.24,01:10:00,OYA_1193 01-2024.xlsx,17.8,52.1,1.02,326,0.293,17.5,1.23,0,NA
2024-01-01T01:20:00Z,01.01.24,01:20:00,OYA_1193 01-2024.xlsx,18.4,44.7,1.07,331,0.146,16,1.24,0,NA
2024-01-01T01:30:00Z,01.01.24,01:30:00,OYA_1193 01-2024.xlsx,18.5,44,1.39,19.3,0.239,21.5,1.24,0,NA
2024-01-01T01:40:00Z,01.01.24,01:40:00,OYA_1193 01-2024.xlsx,18.5,48.5,1.63,38.6,0.511,16.8,1.24,0,NA
2024-01-01T01:50:00Z,01.01.24,01:50:00,OYA_1193 01-2024.xlsx,17.5,58.8,2.53,28.1,0.306,10,1.26,0,NA
2024-01-01T02:00:00Z,01.01.24,02:00:00,OYA_1193 01-2024.xlsx,16.8,63.4,2.88,37.7,0.331,7.43,1.31,0,NA
2024-01-01T02:10:00Z,01.01.24,02:10:00,OYA_1193 01-2024.xlsx,16.7,61.3,2.12,25.2,0.526,12,1.38,0,NA
2024-01-01T02:20:00Z,01.01.24,02:20:00,OYA_1193 01-2024.xlsx,16.9,58.9,2.55,56,0.292,11.6,1.4,0,NA
2024-01-01T02:30:00Z,01.01.24,02:30:00,OYA_1193 01-2024.xlsx,16,66.3,2.93,42.6,0.345,12.9,1.45,0,NA
2024-01-01T02:40:00Z,01.01.24,02:40:00,OYA_1193 01-2024.xlsx,16.3,62.8,2.76,30.5,0.379,9.02,1.49,0,NA
2024-01-01T02:50:00Z,01.01.24,02:50:00,OYA_1193 01-2024.xlsx,16.9,57.5,2.68,20.5,0.362,11.5,1.5,0,NA
2024-01-01T03:00:00Z,01.01.24,03:00:00,OYA_1193 01-2024.xlsx,16.9,56,2.76,13.7,0.366,10.2,1.5,0,NA
2024-01-01T03:10:00Z,01.01.24,03:10:00,OYA_1193 01-2024.xlsx,17.6,46.7,2.49,7.56,0.317,13.1,1.47,0,NA
2024-01-01T03:20:00Z,01.01.24,03:20:00,OYA_1193 01-2024.xlsx,18.4,35.5,2.16,17.3,0.36,14.5,1.4,0,NA
2024-01-01T03:30:00Z,01.01.24,03:30:00,OYA_1193 01-2024.xlsx,18.9,33.3,1.77,13.9,0.477,21.6,1.32,0,NA
2024-01-01T03:40:00Z,01.01.24,03:40:00,OYA_1193 01-2024.xlsx,18.9,33.3,1.43,18.2,0.471,26,1.27,0,NA
2024-01-01T03:50:00Z,01.01.24,03:50:00,OYA_1193 01-2024.xlsx,19.3,34,1.74,349,0.407,16.1,1.25,0,NA
2024-01-01T04:00:00Z,01.01.24,04:00:00,OYA_1193 01-2024.xlsx,19.6,37.9,1.89,3.1,0.638,17.4,1.22,0,NA
2024-01-01T04:10:00Z,01.01.24,04:10:00,OYA_1193 01-2024.xlsx,18.9,43.1,1.82,14.6,0.627,24.9,1.2,0,NA
2024-01-01T04:20:00Z,01.01.24,04:20:00,OYA_1193 01-2024.xlsx,18.2,47.3,1.8,21.1,0.5,15.6,1.23,0,NA
2024-01-01T04:30:00Z,01.01.24,04:30:00,OYA_1193 01-2024.xlsx,17.8,48.8,2.07,28.1,0.488,12.2,1.27,0,NA
2024-01-01T04:40:00Z,01.01.24,04:40:00,OYA_1193 01-2024.xlsx,17.5,49.2,1.44,29.6,0.421,16,1.3,0,NA
2024-01-01T04:50:00Z,01.01.24,04:50:00,OYA_1193 01-2024.xlsx,17.4,48.9,1.52,50,0.51,12.9,1.33,0,NA
2024-01-01T05:00:00Z,01.01.24,05:00:00,OYA_1193 01-2024.xlsx,16.8,53.7,2.39,75.4,0.328,10.6,1.37,0,NA
2024-01-01T05:10:00Z,01.01.24,05:10:00,OYA_1193 01-2024.xlsx,16.7,54.1,2.15,66.1,0.381,9.08,1.38,0,NA
2024-01-01T05:20:00Z,01.01.24,05:20:00,OYA_1193 01-2024.xlsx,16.3,55.8,2.17,47.2,0.181,8.55,1.41,0,NA
2024-01-01T05:30:00Z,01.01.24,05:30:00,OYA_1193 01-2024.xlsx,16.5,54.2,2.26,41.4,0.197,8.71,1.43,0,NA
2024-01-01T05:40:00Z,01.01.24,05:40:00,OYA_1193 01-2024.xlsx,16.8,52.2,2.65,34.6,0.236,5.66,1.46,0,NA
2024-01-01T05:50:00Z,01.01.24,05:50:00,OYA_1193 01-2024.xlsx,16.8,51.7,2.06,28.4,0.26,9.86,1.46,0,NA
2024-01-01T06:00:00Z,01.01.24,06:00:00,OYA_1193 01-2024.xlsx,16.9,50,1.93,21.9,0.241,8.21,1.47,0,NA
2024-01-01T06:10:00Z,01.01.24,06:10:00,OYA_1193 01-2024.xlsx,17,50.3,2.61,33.4,0.382,6.75,1.48,0,NA
2024-01-01T06:20:00Z,01.01.24,06:20:00,OYA_1193 01-2024.xlsx,16.9,51.2,2.78,45.2,0.329,11,1.47,0,NA
2024-01-01T06:30:00Z,01.01.24,06:30:00,OYA_1193 01-2024.xlsx,16.2,55,2.84,39.5,0.305,8.11,1.47,0,NA
2024-01-01T06:40:00Z,01.01.24,06:40:00,OYA_1193 01-2024.xlsx,16.4,54.5,2.83,30.3,0.248,7.44,1.5,0,NA
2024-01-01T06:50:00Z,01.01.24,06:50:00,OYA_1193 01-2024.xlsx,16.6,53.9,3.12,32.9,0.235,4.8,1.51,0,NA
2024-01-01T07:00:00Z,01.01.24,07:00:00,OYA_1193 01-2024.xlsx,16.6,52.8,2.94,26.5,0.251,7.71,1.5,0,NA
2024-01-01T07:10:00Z,01.01.24,07:10:00,OYA_1193 01-2024.xlsx,16.6,52.8,2.95,30.5,0.259,6.04,1.5,0,NA
2024-01-01T07:20:00Z,01.01.24,07:20:00,OYA_1193 01-2024.xlsx,16.8,51.7,2.94,28.4,0.239,7.12,1.5,0,NA
2024-01-01T07:30:00Z,01.01.24,07:30:00,OYA_1193 01-2024.xlsx,16.8,51.2,2.78,27.4,0.258,7.11,1.49,0,NA
2024-01-01T07:40:00Z,01.01.24,07:40:00,OYA_1193 01-2024.xlsx,16.8,51.1,2.43,36.8,0.219,6.88,1.49,0,NA
2024-01-01T07:50:00Z,01.01.24,07:50:00,OYA_1193 01-2024.xlsx,16.6,51.3,2.41,33.8,0.208,6.51,1.49,0,NA
2024-01-01T08:00:00Z,01.01.24,08:00:00,OYA_1193 01-2024.xlsx,16.7,50.9,2.76,35.4,0.195,6.71,1.5,0,NA
2024-01-01T08:10:00Z,01.01.24,08:10:00,OYA_1193 01-2024.xlsx,16.8,49.1,2.6,31.6,0.201,6.21,1.5,0,NA
2024-01-01T08:20:00Z,01.01.24,08:20:00,OYA_1193 01-2024.xlsx,16.6,50.6,2.18,34.6,0.309,8.68,1.49,0,NA
2024-01-01T08:30:00Z,01.01.24,08:30:00,OYA_1193 01-2024.xlsx,16.5,50.3,2.74,29.2,0.393,6.82,1.51,0,NA
2024-01-01T08:40:00Z,01.01.24,08:40:00,OYA_1193 01-2024.xlsx,16.5,51.1,2.93,31,0.286,6.38,1.52,0,NA
2024-01-01T08:50:00Z,01.01.24,08:50:00,OYA_1193 01-2024.xlsx,16.4,52.8,2.52,26.3,0.198,7.83,1.52,0,NA
2024-01-01T09:00:00Z,01.01.24,09:00:00,OYA_1193 01-2024.xlsx,16.4,52.5,2.35,30.4,0.44,7.94,1.54,0,NA
2024-01-01T09:10:00Z,01.01.24,09:10:00,OYA_1193 01-2024.xlsx,16,52.6,0.476,319,0.178,97.6,1.55,0,NA
2024-01-01T09:20:00Z,01.01.24,09:20:00,OYA_1193 01-2024.xlsx,15.3,55.2,0.531,28.1,0.151,16.7,1.59,0,NA
2024-01-01T09:30:00Z,01.01.24,09:30:00,OYA_1193 01-2024.xlsx,15,58.4,1.53,32.6,0.356,6.76,1.67,0,NA
2024-01-01T09:40:00Z,01.01.24,09:40:00,OYA_1193 01-2024.xlsx,15.1,58.5,1.25,24.6,0.44,21.9,1.73,0,NA
2024-01-01T09:50:00Z,01.01.24,09:50:00,OYA_1193 01-2024.xlsx,15,59.1,1.02,32.1,0.284,6.86,1.77,0,NA
2024-01-01T10:00:00Z,01.01.24,10:00:00,OYA_1193 01-2024.xlsx,15.1,58.4,0.736,6.7,0.148,22.1,1.81,0,NA
2024-01-01T10:10:00Z,01.01.24,10:10:00,OYA_1193 01-2024.xlsx,15.1,56.8,0.847,5.7,0.199,8.23,1.85,0,NA
2024-01-01T10:20:00Z,01.01.24,10:20:00,OYA_1193 01-2024.xlsx,15.3,55.3,0.416,334,0.051,20.6,1.88,0,NA
2024-01-01T10:30:00Z,01.01.24,10:30:00,OYA_1193 01-2024.xlsx,15.6,53.2,0.598,59.7,0.212,33.5,1.89,0,NA
2024-01-01T10:40:00Z,01.01.24,10:40:00,OYA_1193 01-2024.xlsx,16.4,51.7,0.368,58.5,0.039,0,1.82,0,NA
2024-01-01T10:50:00Z,01.01.24,10:50:00,OYA_1193 01-2024.xlsx,17.8,46.9,0.376,156,0.044,0,1.65,0,NA
2024-01-01T11:00:00Z,01.01.24,11:00:00,OYA_1193 01-2024.xlsx,18.6,45.3,0.556,68.6,0.31,22.7,1.42,0,NA
2024-01-01T11:10:00Z,01.01.24,11:10:00,OYA_1193 01-2024.xlsx,18.1,49.5,2.35,39,0.378,11.4,1.23,0,NA
2024-01-01T11:20:00Z,01.01.24,11:20:00,OYA_1193 01-2024.xlsx,16.9,56.7,3.03,38.1,0.481,9.34,1.14,0,NA
2024-01-01T11:30:00Z,01.01.24,11:30:00,OYA_1193 01-2024.xlsx,16.8,57.5,3.02,55.3,0.387,9.24,1.06,0,NA
2024-01-01T11:40:00Z,01.01.24,11:40:00,OYA_1193 01-2024.xlsx,17.4,53.7,2.8,55.3,0.372,11.2,0.993,0,NA
2024-01-01T11:50:00Z,01.01.24,11:50:00,OYA_1193 01-2024.xlsx,18,51.8,2.51,55.7,0.416,10.3,0.894,0,NA
2024-01-01T12:00:00Z,01.01.24,12:00:00,OYA_1193 01-2024.xlsx,18.4,50.5,1.81,52.2,0.552,21.2,0.776,0,NA
2024-01-01T12:10:00Z,01.01.24,12:10:00,OYA_1193 01-2024.xlsx,19.4,47.5,1.37,20.1,0.289,17.5,0.593,0,NA
2024-01-01T12:20:00Z,01.01.24,12:20:00,OYA_1193 01-2024.xlsx,20.1,45,0.909,6.62,0.349,38.3,0.344,0,NA
2024-01-01T12:30:00Z,01.01.24,12:30:00,OYA_1193 01-2024.xlsx,20.5,45.2,1.25,12,0.472,32.5,0.112,0,NA
2024-01-01T12:40:00Z,01.01.24,12:40:00,OYA_1193 01-2024.xlsx,20.3,46.4,0.895,357,0.429,36.6,0.002,0,NA
2024-01-01T12:50:00Z,01.01.24,12:50:00,OYA_1193 01-2024.xlsx,20.9,48.4,1.34,249,0.622,47.6,0,0,NA
2024-01-01T13:00:00Z,01.01.24,13:00:00,OYA_1193 01-2024.xlsx,19.9,55.6,1.87,223,0.408,21.4,0,0,NA
2024-01-01T13:10:00Z,01.01.24,13:10:00,OYA_1193 01-2024.xlsx,19.6,58.2,1.92,226,0.555,27.9,0,0,NA
2024-01-01T13:20:00Z,01.01.24,13:20:00,OYA_1193 01-2024.xlsx,19.7,59.2,1.97,225,0.627,23,0,0,NA
2024-01-01T13:30:00Z,01.01.24,13:30:00,OYA_1193 01-2024.xlsx,19.7,59.9,2.41,219,0.539,22.7,0,0,NA
2024-01-01T13:40:00Z,01.01.24,13:40:00,OYA_1193 01-2024.xlsx,19.4,60.9,2.59,215,0.622,19.1,0,0,NA
2024-01-01T13:50:00Z,01.01.24,13:50:00,OYA_1193 01-2024.xlsx,19.4,61.5,1.98,209,0.434,21.1,0,0,NA
2024-01-01T14:00:00Z,01.01.24,14:00:00,OYA_1193 01-2024.xlsx,19.8,60,2,217,0.563,25.9,0,0,NA
2024-01-01T14:10:00Z,01.01.24,14:10:00,OYA_1193 01-2024.xlsx,20.3,58.4,2.59,214,0.743,18.9,0,0,NA
2024-01-01T14:20:00Z,01.01.24,14:20:00,OYA_1193 01-2024.xlsx,20.3,58.3,2.54,202,0.697,18.4,0,0,NA
2024-01-01T14:30:00Z,01.01.24,14:30:00,OYA_1193 01-2024.xlsx,20.5,57.8,2.77,208,0.686,18.7,0,0,NA
2024-01-01T14:40:00Z,01.01.24,14:40:00,OYA_1193 01-2024.xlsx,20.4,58.5,3.03,211,0.697,19.6,0,0,NA
2024-01-01T14:50:00Z,01.01.24,14:50:00,OYA_1193 01-2024.xlsx,20.7,57.6,3.05,212,0.685,20,0,0,NA
