datetime,date,time,luft_temperatur_c,luft_feuchte_percent,luft_druck_h_pa,wind_geschwindigkeit_m_s,wind_richtung,wind_geschwindigkeit_standardabweichung_m_s,wind_richtung_standardabweichung,strahlung_global_w_m2,boden_temperatur_50cm_c,niederschlag_ja_nein_ja_nein,umwelt_blatt_feuchte_percent,strahlung_sichtweite_m,boden_feuchte_10cm_percent,boden_temperatur_10cm_c,boden_feuchte_20cm_percent,boden_temperatur_20cm_c,archivo_origen,stromversorgung_spannung_batterie_v,niederschlag_nebelwasser_mm,niederschlag_tauwasser_mm,oberflaeche_temperatur_c,niederschlag_nebelwasser_ml,niederschlag_tauwasser_ml
2024-01-01T00:00:00Z,01.01.24,00:00:00,18.9,48.4,880,5.295,263,0.4575,7.095000000000001,-2.51,25.5,1,1.16,0.367,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,18.4,0,0
2024-01-01T00:10:00Z,01.01.24,00:10:00,19.1,48.3,881,5,273,0.5609999999999999,6.785,-2.57,25.5,1,1.01,0.367,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,18.549999999999997,0,0
2024-01-01T00:20:00Z,01.01.24,00:20:00,18.7,54.5,881,3.53,317.5,0.769,19.7,-2.82,25.5,1,0.981,0.365,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,17.950000000000003,0,0
2024-01-01T00:30:00Z,01.01.24,00:30:00,18.8,54.5,881,3.2800000000000002,315,0.9375,24.85,-2.7,25.5,1,1.01,0.368,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,17.9,0,0
2024-01-01T00:40:00Z,01.01.24,00:40:00,17.5,64.4,881,2,339,0.481,20,-2.94,25.5,1,1.18,0.367,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,16.700000000000003,0,0
2024-01-01T00:50:00Z,01.01.24,00:50:00,16.7,68.6,881,2.0100000000000002,346.5,0.516,18.2,-2.64,25.5,1,1.52,0.37,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,16.15,0,0
2024-01-01T01:00:00Z,01.01.24,01:00:00,16.6,69.4,882,1.24,344.5,0.394,24.65,-2.58,25.5,1,1.83,0.37,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.850000000000001,0,0
2024-01-01T01:10:00Z,01.01.24,01:10:00,17.5,61.3,882,1.7149999999999999,294,0.518,17.45,-2.47,25.5,1,1.97,0.37,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,16,0,0
2024-01-01T01:20:00Z,01.01.24,01:20:00,18.2,51.3,882,1.78,303,0.288,12.3,-2.69,25.5,1,1.92,0.369,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,16.15,0,0
2024-01-01T01:30:00Z,01.01.24,01:30:00,18.4,53.2,882,1.48,9.075,0.3425,26.75,-2.85,25.5,1,1.86,0.369,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,16.25,0,0
2024-01-01T01:40:00Z,01.01.24,01:40:00,18.3,57.3,882,2.0149999999999997,30.4,0.651,16.35,-2.83,25.5,1,1.99,0.37,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,16.2,0,0
2024-01-01T01:50:00Z,01.01.24,01:50:00,17,66.1,882,2.705,15.2,0.27,16.03,-2.65,25.5,1,2.48,0.369,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.8,0,0
2024-01-01T02:00:00Z,01.01.24,02:00:00,16.2,69.9,882,2.915,24.75,0.27,13.67,-2.54,25.5,1,2.97,0.371,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.4,0,0
2024-01-01T02:10:00Z,01.01.24,02:10:00,16.5,69,882,2.32,353.5,0.3595,16.15,-2.31,25.5,1,3.28,0.371,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.5,0,0
2024-01-01T02:20:00Z,01.01.24,02:20:00,16.7,66.4,882,2.4400000000000004,38.65,0.21000000000000002,16.21,-2.74,25.5,1,3.32,0.372,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.45,0,0
2024-01-01T02:30:00Z,01.01.24,02:30:00,16,70.6,882,2.9850000000000003,26.049999999999997,0.314,16.115,-2.49,25.5,1,4.01,0.372,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.05,0,0
2024-01-01T02:40:00Z,01.01.24,02:40:00,16.1,70,882,2.68,8.305,0.30600000000000005,19.45,-2.37,25.5,1,4.34,0.372,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.15,0,0
2024-01-01T02:50:00Z,01.01.24,02:50:00,16.4,67.1,882,2.885,354,0.363,12.3,-2.43,25.5,1,4.43,0.373,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.3,0,0
2024-01-01T03:00:00Z,01.01.24,03:00:00,16.7,63.3,882,2.71,347.5,0.472,11.55,-2.58,25.5,1,4.21,0.375,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.5,0,0
2024-01-01T03:10:00Z,01.01.24,03:10:00,17.6,53.4,882,2.285,340.5,0.46950000000000003,13.15,-2.62,25.5,1,3.57,0.372,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,15.899999999999999,0,0
2024-01-01T03:20:00Z,01.01.24,03:20:00,18.3,44.1,882,2.285,356,0.5085000000000001,21.65,-2.87,25.5,1,2.7,0.371,0,0,0,0,OYA_1211 01-2024.xlsx,NA,NA,NA,16.2,0,0
