datetime,date,time,archivo_origen,luft_temperatur_1a_c,luft_feuchte_1a_percent,niederschlag_nebelwasser_menge_1a_mm,wind_geschwindigkeit_1a_m_s,wind_richtung_1a,wind_geschwindigkeit_standardabweichung_1a_m_s,wind_richtung_standardabweichung_1a,umwelt_blatt_feuchte_1a_percent,niederschlag_nebelwasser_menge_1a_ml,luft_temperatur_c,luft_feuchte_percent,wind_geschwindigkeit_m_s,wind_richtung,wind_geschwindigkeit_standardabweichung_m_s,wind_richtung_standardabweichung,umwelt_blatt_feuchte_percent,niederschlag_nebelwasser_ml,niederschlag_nebelwasser_mm
2024-01-01T00:00:00Z,01.01.24,00:00:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.399999999999999,47.6,6,287,0.65600000000000003,10,1.45,0,NA
2024-01-01T00:10:00Z,01.01.24,00:10:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.399999999999999,47.8,5.88,286,0.78200000000000003,10.1,1.48,0,NA
2024-01-01T00:20:00Z,01.01.24,00:20:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.399999999999999,49.2,5.62,283,0.81799999999999995,10.199999999999999,1.5,0,NA
2024-01-01T00:30:00Z,01.01.24,00:30:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,50.4,5.46,281,0.76600000000000001,9.93,1.51,0,NA
2024-01-01T00:40:00Z,01.01.24,00:40:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,51.2,5.74,284,0.84199999999999997,10.4,1.53,0,NA
2024-01-01T00:50:00Z,01.01.24,00:50:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,51.1,4.7699999999999996,287,1.03,10.7,1.54,0,NA
2024-01-01T01:00:00Z,01.01.24,01:00:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.100000000000001,51.8,4.0199999999999996,297,0.43099999999999999,10.3,1.56,0,NA
2024-01-01T01:10:00Z,01.01.24,01:10:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.100000000000001,51.1,4.34,290,0.878,11.6,1.58,0,NA
2024-01-01T01:20:00Z,01.01.24,01:20:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,46.1,4.72,295,0.95699999999999996,13.3,1.58,0,NA
2024-01-01T01:30:00Z,01.01.24,01:30:00,OYA_1354 01-2024.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.399999999999999,43.8,4.17,304,0.746,10.4,1.56,0,NA
